ONG,TÍTULO PROYECTO,TIPOLOGÍA,PAÍS,AÑO DE EJECUCIÓN,SUBVENCIÓN €
MEDICOS DEL MUNDO,"FORTALECIMIENTO DE LOS SISTEMAS PÚBLICOS DE SALUD EN LA REGIÓN DE PEMBA,PROV. CABO DELGADO,MEDIANTE EL APOYO A LA RED DE ATENCIÓN PRIMARIA",Cooperación al Desarrollo,Mozambique,2007,"274.357,64"
AMISTAD EUROPEA. PROYECTO SOLIDARIO (ONGD),FORTALECIMIENTO DE LA PROPUESTA EDUCATIVA EN LOS CANTONES CAYAMBE Y PEDRO MONCAYO .FASE II. PICHINCHA. ECUADOR.,Cooperación al Desarrollo,Ecuador,2007,"234.593,30"
FEDERACION ESPAÑOLA DE RELIGIOSOS ENSEÑANZA. FERE,AMPLIACIÓN Y MEJORA DE LA ATENCIÓN EDUCATIVA Y FORMATIVA DE LA POBLACIÓN JUVENIL RESIDENTE EN LA CIUDAD DE KENITRA,Cooperación al Desarrollo,Marruecos,2007,"225.570,00"
FUNDACION ESPAÑOLA PARA LA COOPERACION. SOLIDARIDAD INTERNACIONAL,"APOYO A LA REHABILITACIÓN AGRÍCOLA Y PECUARIA, MEDIANTE UN ENFOQUE AMBIENTAL SOSTENIBLE EN LA ZONA NORTE DE CHINANDEGA",Cooperación al Desarrollo,Nicaragua,2007,"191.040,98"
MANOS UNIDAS. COMITE CATOLICO DE CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,DESARROLLO INTEGRAL PARA LAS COMUNIDADES AFROCOLOMBIANAS DE LA CUENCA MEDIA DEL RÍO ATRATO,Cooperación al Desarrollo,Colombia,2007,"342.373,39"
FUNDACION INTERED,"MEJORA DE LA CALIDAD EDUCATIVA EN EL D.CHUQUISACA,MEDIANTE UN PROGRAMA DE AULA ABIERTA Y CAPACITACIÓN DE DOCENTES EN PEDAGOGÍA INNOVADORA.",Cooperación al Desarrollo,Bolivia,2007,"251.295,71"
FUNDACION CODESPA - FUTURO EN MARCHA,IMPLANTACIÓN POR MUJERES INDÍGENAS DE PEQUEÑA INDUSTRIA DE PRODUCCIÓN DE GRANOS Y CEREALES ANDINOS ORGÁNICOS .,Cooperación al Desarrollo,Ecuador,2007,"300.651,00"
ASAMBLEA DE COOPERACION POR LA PAZ,MEJORA DE LAS CONDICIONES SANITARIAS Y DE SANEAMIENTO BÁSICO.,Cooperación al Desarrollo,Honduras,2007,"332.700,00"
IEPALA. INST. DE ESTUDIOS POLITICOS PARA AMERICA LATINA Y AFRICA,MEJORA DE LA CALIDAD EDUCATIVA A TRAVÉS DE LA FORMACIÓN DE NUEVOS MAESTROS Y RECICLAJE DE PROFESORES PRIMARIOS EN PROVINCIA DE CABO DELGADO,Cooperación al Desarrollo,Mozambique,2007,"200.252,95"
PROSALUS,"PROMOCIÓN DE LA SEGURIDAD ALIMENTARIA EN LA MICROCUENCA DEL CHOTANO, MEDIANTE EL DESARROLLO DE CAPACIDADES, BUENAS PRÁCTICAS NUTRICIONALES E HIGIÉNE.",Cooperación al Desarrollo,Perú,2007,"369.093,00"
JOVENES DEL TERCER MUNDO ( JÓVENES Y DESARROLLO ),"CAPACITACIÓN DE DIRECTORES Y DOCENTES DE ESCUELAS FISCALES DE CONVENIO EN GESTIÓN, ORGANIZACIÓN Y PLANIFICACIÓN EDUCATIVA.",Cooperación al Desarrollo,Bolivia,2007,"304.332,00"
FUNDACION PAZ Y TERCER MUNDO,"CONSTRUCCIÓN DE ESPACIOS LOCALES PARA LA PROMOCIÓN ORGANIZATIVA Y CULTURAL, CON ENFOQUE DE GÉNERO, DE LA JUVENTUD .",Cooperación al Desarrollo,El Salvador,2007,"129.420,56"
FUNDACION PADRE ARRUPE (F.P.A.),COMPLEJO EDUCATIVO ACTIVA EL SALVADOR.OBRAS DE URBANIZACIÓN ACCESO NORTE,Cooperación al Desarrollo,El Salvador,2007,"162.575,00"
ENTRE CULTURAS - FE Y ALEGRIA,"CAPACITACIÓN PARA EL DESARROLLO DE MICROEMPRENDIMIENTOS DE 100 MUJERES EN CONDICIONES DE EXTREMA POBREZA EN GUAYAQUIL, ECUADOR.",Cooperación al Desarrollo,Ecuador,2007,"327.974,38"
FUNDACION BENEFICA DEL VALLE,AUMENTO DE OPORTUNIDADES EDUCATIVAS EN LA POBLACIÓN JUVENIL DEL MUNICIPIO DE TECOLUCA Y JIQUILISCO. EL SALVADOR,Cooperación al Desarrollo,El Salvador,2007,"312.263,76"
 INGENIERIA SIN FRONTERAS-ASOCIACION PARA EL DESARROLLO,PROGRAMA HIDROSANITARIO EN EL DISTRITO DE KIGOMA RURAL (FASE V).  TANZANIA,Cooperación al Desarrollo,Tanzania,2007,"110.036,00"
FUNDACION HUMANISMO Y DEMOCRACIA,"MEJORAR LA CAPACIDAD PARTICIPATIVA DE LOS HABITANTES DE LOS MUNICIPIOS DE SAN PEDRO DE QUEMES, COLCHA K Y SAN AGUSTIN. BOLIVIA",Cooperación al Desarrollo,Bolivia,2007,"386.418,12"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,MEJORA DEL ACCESO AL AGUA SEGURA Y SANEAMIENTO BÁSICO DE LA POBLACIÓN RURAL MÁS VULNERABLE DEL DISTRITO DE CHIRADZULU.MALAWI,Cooperación al Desarrollo,Malawi,2007,"233.909,17"
FUNDACION JUAN CIUDAD,REDUCIDA LA INCIDENCIA DE LAS ENFERMEDADES MENTALES DE LA POBLACIÓN ADOLESCENTE E INFANTIL SIN RECURSOS DEL EJE CAFETERO,Cooperación al Desarrollo,Colombia,2007,"286.252,11"
EDUCACION SIN FRONTERAS,"FORTABLECIMIENTO ORGANIZATIVO, PRODUCTIVO Y SOCIOEDUCATIVO DE 24 COMUNIDADES Y COOPERATIVAS DEL MUNICIPIO DE JIQUILISCO",Cooperación al Desarrollo,El Salvador,2007,"150.484,97"
CANDELITA,CENTRO INTEGRAL DE PRODUCTIVIDAD PARA MUJERES EN BOGOTÁ. COLOMBIA.,Cooperación al Desarrollo,Colombia,2007,"271.522,00"
MEDICUS MUNDI MADRID,FORTALECIMIENTO DE LA ATENCIÓN PRIMARIA DE SALUD EN EL MUNICIPIO  DE YORO.,Cooperación al Desarrollo,Honduras,2007,"162.459,00"
FUNDACION PROMOCION SOCIAL DE LA CULTURA,GENERACIÓN DE CAPACIDADES EN ACTORES ESTRATÉGICOS PARA EL DESARROLLO DE LA ACTIVIDAD AGROPECUARIA EN LA SIERRA DEL PERÚ ,Cooperación al Desarrollo,Perú,2007,"236.787,00"
ASOCIACION PARA LA INTEGRACION DEL MENOR PAIDEIA,MANTENIMIENTO Y MEJORA DEL COMPLEJO SOCIAL ASSADAKA.,Cooperación al Desarrollo,Marruecos,2007,"264.800,00"
FUNDACIÓN AYUDA EN ACCION,OPTIMIZACIÓN DEL ABASTECIMIENTO DE AGUA DE RIEGO Y CONSUMO HUMANO EN LAS COMUNIDADES DEL VALLE INTERCULTURAL DE LOS RÍOS CHOTA Y MIRA.,Cooperación al Desarrollo,Ecuador,2007,"390.646,62"
FAD. FUNDACION DE AYUDA CONTRA LA DROGADICCION,"DESARROLLO COMUNITARIO INTEGRAL, SIGNIFICADAMENTE CON NIÑ@S TRABAJADOR@S EN SITUACIÓN DE CALLE Y VICTIMAS DE VIOLENCIA DE GÉNERO",Cooperación al Desarrollo,Nicaragua,2007,"307.619,30"
BOMBEROS UNIDOS SIN FRONTERAS,III FASE DE  INSTALACIÓN Y PUESTA EN MARCHA DE SISTEMAS DE POTABILIZACIÓN DE AGUA PARA EL ABASTECIMIENTO PERMANENTE DE LAS ZONAS RURALES DE LA PROVINCIA DE MAYNAS,Cooperación al Desarrollo,Perú,2007,"325.600,00"
COMITE INTERNACIONAL DE RESCATE ESPAÑA,PROGRAMA DE DESAROLLO RURAL INTEGRAL PARA COMUNIDADES AFRODESCENDIENTES E INDÍGENAS AFECTADAS POR LA VIOLENCIA.,Cooperación al Desarrollo,Colombia,2007,"287.181,00"
FUNDACION COMUNION PROMOCION DESARROLLO LIBERACION. COPRODELI,PARQUE INDUSTRIAL PARA PEQUEÑOS EMPRENDEDORES PACHALOTEC,Cooperación al Desarrollo,Perú,2007,"266.926,00"
ASOC.INVESTIGACION Y ESPECIALIZACION SOBRE TEMAS IBEROAMERICANOS AIETI,PROMOCION DE LOS DERECHOS ECONOMICOS Y SOCIALES CON EQUIDAD DE GENERO EN EL MARCO DE LOS PLANES DE IGUALDAD DE OPORTUNIDADES,Cooperación al Desarrollo,Perú,2007,"263.538,97"
FUNDACION IBEROAMERICANA PARA EL DESARROLLO -F.I.D.E.,PROMOCIÓN DE DESARROLLO LOCAL MEDIANTE LA GENERACIÓN DE VALOR AGREGADO EN EL CULTIVO Y COMERCIALIZACIÓN DE LA CAÑAHUA,Cooperación al Desarrollo,Bolivia,2007,"201.248,29"
ASOCIACION CULTURAL POR COLOMBIA E IBEROAMERICA. ACULCO,JUNTOS ES POSIBLE - FASE III,Cooperación al Desarrollo,Colombia,2007,"209.995,00"
FUNDACION VICENTE FERRER,PROMOCIÓN DE LA INTEGRACIÓN Y AUTOORGANIZACIÓN SOCIAL DE LOS SECTORES DE LA POBLACIÓN MÁS DESFAVORECIDOS DEL DTO. DE ANANTAPUR,Cooperación al Desarrollo,India,2007,"170.400,00"
FUNDACION PARA EL DESARROLLO DE LA ENFERMERIA. FUDEN,APOYO A LA PROFESIONALIZACIÓN DE RECURSOS HUMANOS DE ENFERMERÍA DEL SISTEMA PÚBLICO DE SALUD DE NICARAGUA,Cooperación al Desarrollo,Nicaragua,2007,"247.857,54"
FUNDACIÓN CEAR - CONSEJO ESPAÑOL DE APOYO A LOS REFUGIADOS,APOYO A LA INSERCIÓN SOCIOECONÓMICA A TRAVÉS DE LA FORMACIÓN PROFESIONAL Y LA MEJORA DE ASENTAMIENTOS RURALES EN SENEGAL,Cooperación al Desarrollo,Senegal,2007,"289.670,63"
FUNDACIÓN MADRID PAZ Y SOLIDARIDAD,"MEJORA DE LA CAPACIDAD PRODUCTIVA, DE PROCESAMIENTO, COMERCIALIZACIÓN Y FINANCIERA DE LOS PEQUEÑOS CAMPESINOS ASOCIADOS A LAS COOPERATIVAS UNARL Y JIGÜINA.",Cooperación al Desarrollo,Nicaragua,2007,"203.540,00"
FUNDACION AMREF-ESPAÑA,PROMOCIÓN DE LA SALUD DE LA MUJER Y ERRADICACIÓN DE LA VIOLENCIA  DE GÉNERO A TRAVÉS DEL REFUERZO DE CAPACIDADES LOCALES.,Cooperación al Desarrollo,Tanzania,2007,"300.000,00"
FUNDACION TIERRA DE HOMBRES ESPAÑA.,LUCHA CONTRA LA DESNUTRICIÓN CRÓNICA INFANTIL,Cooperación al Desarrollo,Perú,2007,"69.852,27"
FUNDACIÓN PLAN INTERNACIONAL ESPAÑA,MEJORA DEL NIVEL DE ENSEÑANZA - APRENDIZAJE Y DESARROLLO INTEGRAL DE LOS NIÑOS Y NIÑAS QUE ASISTEN A LAS ESCUELAS DEL CATÓN GUAMOTE.,Cooperación al Desarrollo,Ecuador,2007,"240.026,00"
ASOCIACION HUMANA,DESARROLLO COMUNITARIO PARA LA MEJORA DE LOS HÁBITOS SANITARIOS Y LA PREVENCIÓN DE ENFERMEDADES EN EL SENO FAMILIAR EN LA COMUNA DE CAZENGA,Cooperación al Desarrollo,Angola,2007,"191.212,00"
AFRICA DIRECTO,CONSTRUCCIÓN DE UNA ESCUELA PRIMARIA EN ARUSHA,Cooperación al Desarrollo,Tanzania,2007,"304.480,00"
"FUNDACION INTERMON OXFAM, FUNDACION PRIVADA",POR EL DERECHO A UNA VIDA DIGNA; LOS OBJETIVOS DE DESARROLLO DEL  MILENIO,Sensibilización / Educación para el Desarrollo,Madrid,2007,"89.703,50"
ASAMBLEA DE COOPERACIÓN POR LA PAZ,LA JUVENTUD MADRILEÑA EN FAVOR DE LA CONSECUCIÓN DE LOS OBJETIVOS DEL MILENIO EN EL RIF.,Sensibilización / Educación para el Desarrollo,Madrid,2007,"89.945,75"
ACSUR (ASOCIACIÓN PARA LA COOPERACIÓN CON EL SUR LAS SEGOVIAS),"CAMPAÑA SOBRE ACCESO A RECURSOS, DESIGUALDAD Y DESARROLLO ¿DE QUIÉN ES LA TIERRA?",Sensibilización / Educación para el Desarrollo,Madrid,2007,"38.737,49"
FUNDACION BENEFICA DEL VALLE,DERECHOS DE LA INFANCIA EN EL SALVADOR,Sensibilización / Educación para el Desarrollo,Madrid,2007,"46.712,78"
SOLIDARIOS PARA EL DESARROLLO,X FESTIVAL DE FLAMENCO SOLIDARIO,Sensibilización / Educación para el Desarrollo,Madrid,2007,"25.442,00"
 INGENIERIA SIN FRONTERAS-ASOCIACION PARA EL DESARROLLO,SENSIBILIZACIÓN SOBRE EL ACCESO AL AGUA Y SANIAMIENTO COMO DERECHO HUMANO.,Sensibilización / Educación para el Desarrollo,Madrid,2007,"44.275,40"
CIDEAL,"SENSIBILIZACIÓN SOBRE CODESARROLLO EN PROFUNDIDAD, ¿CÓMO SE HACE  CODESARROLLO?",Sensibilización / Educación para el Desarrollo,Madrid,2007,"39.175,00"
"MPDL - MOVIMIENTO POR LA PAZ, EL DESARME Y LA LIBERTAD",JÓVENES CON EL DESARROLLO,Sensibilización / Educación para el Desarrollo,Madrid,2007,"43.765,46"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,JORNADAS GLOBALIZACIÓN Y DESARROLLO: EL PAPEL DE LOS MEDIOS DE COMUNICACIÓN.,Sensibilización / Educación para el Desarrollo,Madrid,2007,"18.449,50"
ASOCIACION WATU-ACCIÓN INDÍGENA,LOS PUEBLOS INDÍGENAS Y EL ÁMBITO EDUCATIVO: REFLEXIÓN PARTICIPATIVA SOBRE EL USO DEL CÓMIC COMO HERRAMIENTA PEDAGÓGICA PARA SENSIBILIZACIÓN.,Sensibilización / Educación para el Desarrollo,Madrid,2007,"16.276,00"
ASOCIACION CULTURAL TALLER DE COMUNICACION.RADIO VALLEKAS,PUENTES DE COMUNICACIÓN CON LAS MUJERES DEL MUNDO.,Sensibilización / Educación para el Desarrollo,Madrid,2007,"65.700,00"
INSTITUTO DE PROMOCIÓN Y APOYO AL DESARROLLO (IPADE),MADRID CONTRA EL CAMBIO CLIMÁTICO Y LA POBREZA,Sensibilización / Educación para el Desarrollo,Madrid,2007,"28.913,20"
FUNDACIÓN IBEROAMERICANA PARA EL DESARROLLO -F.I.D.E.,ODM7:SOSTENIBILIDAD AMBIENTAL A TRAVÉS DEL CINE PARA CENTROS EDUCATIVOS.,Sensibilización / Educación para el Desarrollo,Madrid,2007,"34.247,99"
FUNDACIÓN DESARROLLO SOSTENIDO. FUNDESO,LA CARAVANA DEL MUNDO: CREACIÓN DE UNA RED DE TRABAJO SOBRE DESARROLLO Y PUESTA EN MARCHA DE UNA CAMPAÑA DE SENSIBILIZACIÓN ITINERANTE.,Sensibilización / Educación para el Desarrollo,Madrid,2007,"24.630,00"
SETEM,SENSIBILIZACIÓN SOBRE LAS INICIATIVAS DE COMPRA PÚBLICA ÉTICA Y SU PAPEL EN EL DESARROLLO SOSTENIBLE DE LOS PAÍSES DEL SUR.,Sensibilización / Educación para el Desarrollo,Madrid,2007,"24.180,00"
FUNDACIÓN COMERCIO PARA EL DESARROLLO. COPADE,CAMPAÑA DE SENSIBILIZACIÓN SOBRE CONSUMO SUBVENCIONADO DE PRODUCTOS FORESTALES MADERA LIMPIA.,Sensibilización / Educación para el Desarrollo,Madrid,2007,"69.845,93"
FUNDACIÓN SAVE THE CHILDREN,Programa de apoyo integral al proceso migratorio de los migrantes y sus familias entre la provincia del Azuay y la ciudad de Madrid.,Codesarrollo,ECUADOR,2007,"376.291,60"
FUNDACIÓN CODESPA,"Consolidación de canales comerciales de productos campesinos a través de distribuidoras  solidarias ecuatorianas hacia España, prioritariamente desde Chimborazo hacia la ciudad de Madrid. ",Codesarrollo,ECUADOR,2007,"216.546,35"
ASAMBLEA DE COOPERACIÓN POR LA PAZ. ACPP,Prevención de la migración irregular desde Marruecos  a España y las violaciones de Derechos humanos de los migrantes marroquíes fomentando que se realice una emigración regular responsable con la participación de Ayuntamientos e instituciones del norte d,Codesarrollo,MARRUECOS,2007,"254.800,80"
COOPERACIÓN INTERNACIONAL,Programa de codesarrollo entre la provincia de Chimborazo y la ciudad de Madrid.,Codesarrollo,ECUADOR,2007,"207.391,30"
CENTRO DE INVESTIGACIÓN Y COOPERACIÓN PARA EL DESARROLLO. CIDEAL,Fortalecimiento organizativo de emigrantes ecuatorianos en Loja y Madrid y vinculación de remesas para el desarrollo de iniciativas productivas agropecuarias.,Codesarrollo,ECUADOR,2007,"254.740,00"
"MOVIMIENTO POR LA PAZ, EL DESARME Y LA LIBERTAD. MPDL","Propuesta de codesarrollo  para la mejora de la formación y de la inserción inicial de jóvenes de la provincia de Alhucemas (Marruecos), tanto en el mercado laboral nacional como en el español.",Codesarrollo,MARRUECOS,2007,"195.083,00"
CRUZ ROJA ESPAÑOLA. COMUNIDAD DE MADRID,"Proyecto integral de codesarrollo dirigido a potenciales emigrantes y actuales inmigrantes peruanos en la ciudad de Madrid, Fase III.",Codesarrollo,PERÚ,2007,"143.696,25"
ASOCIACIÓN CANDELITA ,"Nuestras manos en Madrid, capacitación de mujeres colombianas con fines productivos y comercialización en una tienda solidaria en Madrid. 2ª Fase.",Codesarrollo,COLOMBIA,2007,"151.450,70"
CONVENIO QUITO-MADRID,Apoyo a la institucionalización de las políticas migratorias del distrito y proceso de codesarrollo entre  Quito y Madrid.,Codesarrollo,ECUADOR,2007,"235.000,00"
ISCOD,"Rehabilitación y mejora de las condiciones habitacionales de la población damnificada por el Huracán Félix en las comunidades de Tuapi, Sumubila y el casco urbano de Bilwi, municipio de puerto Cabezas, Raan, Nicaragua",Ayuda Humanitaria,NICARAGUA,2007,"160.000,00"
COOPERACIÓN SOCIAL,"Actuación de ayuda humanitaria para envío de ropa a Polonia, Lituania y Panamá",Ayuda Humanitaria,LITUANIA Y PANAMÁ,2007,"14.500,00"
FUNDACIÓN SAVE THE CHILDREN,"Proyecto para la promoción de la salud perinatal, infantil y maternal en los distritos de Aguie y Tessaoua en la región de Maradi",Ayuda Humanitaria,NÍGER,2007,"300.000,00"
FUNDACIÓN INTERED,"Apoyo integral a la población de 6 comunidades bateyanas afectadas por la tormenta Noel en la República Dominicana, principalmente mediante la reparación y reconstrucción de viviendas",Ayuda Humanitaria,REP.DOMINICANA,2007,"110.000,00"
COOPERACIÓN INTERNACIONAL,"Programa de reasentamiento de las comunidades del cantón Penipe, afectadas por la erupción del volcán Tunguragua (Ecuador)",Ayuda Humanitaria,ECUADOR,2007,"100.059,40"
ENTRECULTURAS - FE Y ALEGRÍA,Garantizar la continuidad educativa de 960 escolares del Distrito de Pueblo Nuevo en Chincha afectados por el terremoto,Ayuda Humanitaria,PERÚ,2007,"135.000,00"
"MOVIMIENTO POR LA PAZ, EL DESARME Y LA LIBERTAD (MPDL)","""Apoyando la reconstrucción y gestionando el riesgo ante desastres en las comunidades rurales de Huamanpali, Juncal, Hijaya, Cruz del Rosario, Magdalena y Huaca de los Ramos, afectadas por el terremoto del 15 de agosto de 2007, distrito de Alto Larán, pro",Ayuda Humanitaria,PERÚ,2007,"121.281,00"
CRUZ ROJA ESPAÑOLA - COMUNIDAD DE MADRID,"Proyecto integral seguridad alimentaria en Niger, en las zonas afectadas por la reciente crisis alimentaria: Maradi, Tahoua y Agadez, fase II",Ayuda Humanitaria,NÍGER,2007,"200.000,00"
BOMBEROS UNIDOS SIN FRONTERAS,Convenio para emergencias en el marco del programa de coop. al desarrollo,Ayuda Humanitaria,CONVENIO,2007,"250.000,00"
BOMBEROS UNIDOS SIN FRONTERAS,"Respuesta de emergencia ante el paso del Huracán Félix en Nicaragua: asistencia médica integral, saneamiento y purificación de agua para los damnificados de las poblaciones del Raan, región del autçonoma del Atlántico Norte,. Nicaragua",Ayuda Humanitaria,NICARAGUA,2007,"51.617,02"
BOMBEROS UNIDOS SIN FRONTERAS,"Respuesta de emergencia ante el terremoto en Perú: saneamiento, purificación y abastecimiento de agua para los damnificados de las poblaciones rurales del Distrito de Humay, Provincia de Pisco",Ayuda Humanitaria,PERÚ,2007,"12.000,00"
CÁRITAS ESPAÑOLA,Rehabilitación agropecuaria y prevención de desastres naturales en el altiplano boliviano,Ayuda Humanitaria,BOLIVIA,2007,"60.000,00"
CÁRITAS ESPAÑOLA,"Fortalecimiento de la oferta educativa para la formación de los alumnos de las II.EE El Olivo y Tierra Prometida de la Upis el Huarangal, damnificados por el terremoto en la región de Ica-Perú",Ayuda Humanitaria,PERÚ,2007,"299.643,37"
ACCIÓN CONTRA EL HAMBRE,"Contribución a la mejora de la situación nutricional de las poblaciones vulnerables de la región de Tahoua (Departamentos de Keita y Abalak), a través de un enfoque integrado de nutrición  y seguridad alimentaria.2007",Ayuda Humanitaria,NÍGER,2007,"299.999,00"
FUNDACIÓN RED DEPORTE Y COOPERACIÓN,Apoyo a la convivencia interétnica entre la población de istok (kosovo) a través del deporte y las actividades educativas,Ayuda Humanitaria,KOSOVO,2007,"145.582,00"
ÁFRICA DIRECTO,"Emergencia humanitaria en Goma y Campo de desplazados de Mugunga. Kivu Norte, Rep.democrática del Congo",Ayuda Humanitaria,R.D.CONGO,2007,"72.000,00"
INFANCIA SIN FRONTERAS,"Ecosanté. Programa de seguridad alimentaria, refuerzo de las habilidades productivas y mejora de las infraestructuras de saneamientos básicos en torno a una red de escuelas rurales",Ayuda Humanitaria,NÍGER,2007,"130.707,82"
ACOGER Y COMPARTIR,Dotación de material médico para la maternidad del dispensario de Tchirozerine ,Ayuda Humanitaria,NÍGER,2007,"13.221,00"
FUNDACIÓN LATINO GRAMEEN (FLAG),Ayuda humanitaria de Emergencia a víctimas de las inundaciones de agosto 2007 en Bangladesh,Ayuda Humanitaria,BANGLADESH,2007,"60.000,00"
ASOCIACION POR LA PAZ Y EL DESARROLLO,CONSOLIDACIÓN DE LA ESTRATEGIA DOTS CON PARTICIPACIÓN COMUNITARIA Y ENFOQUE INTERCULTURAL EN 4 CANTONES DE ALTA PREVALENCIA DE TUBERCULOSIS,Cooperación al Desarrollo,Ecuador,2008,"160.000,00"
ISCOD - INSTITUTO SINDICAL  DE COOPERACION AL DESARROLLO,HABILITACIÓN LABORAL PARA EL EMPLEO EN SOMOTO I FASE.NICARAGUA,Cooperación al Desarrollo,Nicaragua,2008,"150.000,00"
CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA (CESAL),MEJORAS EN LA INFRAESTRUCTURA Y EN EL PROGRAMA DE PREVENCIÓN DE LA TRANSMISIÓN MATERNO INFANTIL DEL VIH/SIDA EN EL DISTRITO DE KITGUM,Cooperación al Desarrollo,Uganda,2008,"300.000,00"
MEDICOS DEL MUNDO,"REDUCCION DE LA MORBI-MORTALIDAD MATERNA Y EN MENORES DE 5 AÑOS   EN LAS DIVISIONES DE CHOME-SUJI Y NDUNGU, DISTRITO DE SAME. FASE I",Cooperación al Desarrollo,Tanzania,2008,"290.000,00"
AMISTAD EUROPEA. PROYECTO SOLIDARIO (ONGD),FORTALECIMIENTO DEL CIRCULO EDUCATIVO EN LOS CANTONES DE CAYAMBE Y PEDRO MONCAYO,Cooperación al Desarrollo,Ecuador,2008,"270.000,00"
FEDERACION ESPAÑOLA DE RELIGIOSOS ENSEÑANZA. FERE,RENOVACION DE TALLERES Y AMPLIACION DE SERVICIOS EN LA ESCUELA  DE  FORMACION PROFESIONAL  JUKSPEL PARA JOVENES DE KENITRA,Cooperación al Desarrollo,Marruecos,2008,"200.000,00"
FUNDACION ESPAÑOLA PARA LA COOPERACION. SOLIDARIDAD INTERNACIONAL,AMPLIAR LA OFERTA EDUCATIVA DEL CENTRO DE FORMACION PROFESIONAL DE DAULE ESPECIALIZADA EN OFICIOS Y APOYAR LA CREACION DE MICROEMPRESAS,Cooperación al Desarrollo,Ecuador,2008,"100.000,00"
SAVE THE CHILDREN,EDUCACIÓN INTERCULTURAL BILINGÜE DE CALIDAD PARA LA PRIMERA INFANCIA EN ÁREAS RURALES DE LA REGIÓN CUSCO,Cooperación al Desarrollo,Perú,2008,"275.103,20"
MANOS UNIDAS. COMITE CATOLICO DE CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,"PROGRAMA INTEGRAL DE DESARROLLO SOCIO-SANITARIO EN COMUNIDADES RURALES DE LA REGION DE OROMIYA, OESTE DE ETIOPIA",Cooperación al Desarrollo,Etiopía,2008,"302.401,55"
FUNDACION INTERED,EDUCANDO CONTRA LA DISCRIMINACIÓN Y POR LA EQUIDAD DE GENERO EN ESCUELAS PUBLICAS DE HUAMANGA. AYACUCHO. PERU,Cooperación al Desarrollo,Perú,2008,"150.000,00"
"FUNDACION INTERMON OXFAM, FUNDACION PRIVADA","CIUDADANOS Y CIUDADANAS DE LIMA METROPOLITANA, PROMOVIENDO EL TRABAJO DIGNO EN LAS MYPE",Cooperación al Desarrollo,Perú,2008,"296.410,37"
FUNDACION CODESPA - FUTURO EN MARCHA,PROMOVIENDO EL DESARROLLO ECONÓMICO LOCAL BAJO ENROQUE TERRITORIAL EN LA MUNICIPALIDAD DE YOTALA,Cooperación al Desarrollo,Bolivia,2008,"106.375,68"
ASAMBLEA DE COOPERACION POR LA PAZ,"MEJORA DE LAS CONDICIONES EDUCATIVAS, SOCIO-COMUNITARIAS Y MEDIOAMBIENTALES DE 650 HABITANTES DEL MUNICIPIO DE AZACUALPA, HONDURAS.",Cooperación al Desarrollo,Honduras,2008,"300.000,00"
FUNDACION IEPALA.INST. ESTUDIOS PARA AMERICA LATINA Y AFRICA,FORTALECIMIENTO A LAS ORGANIZACIONES CAMPESINAS DE CHAYANTA.      BOLIVIA,Cooperación al Desarrollo,Bolivia,2008,"100.000,00"
PROSALUS,DESARROLLO DE LA BASE PRODUCTIVA PARA LA SEGURIDAD ALIMENTARIA EN EL DISTRITO DE CACHACHI (CAJAMARCA),Cooperación al Desarrollo,Perú,2008,"300.000,00"
FUNDACION JOVENES DEL TERCER MUNDO,CREACION DE UNA ESCUELA DE PRIMARIA Y SECUNDARIA EN COHABAMBA . BOLIVIA,Cooperación al Desarrollo,Bolivia,2008,"250.000,00"
COOPERACION INTERNACIONAL,PROYECTO DE DESARROLLO SOCIOECONOMICO DE LA POBLACION REASENTADA EN LA COMUNIDAD LA VICTORIA DE PUSUCA DEL CANTON PENIPE. FASE II,Cooperación al Desarrollo,Ecuador,2008,"300.000,00"
FUNDACION PAZ Y TERCER MUNDO,PROMOCION  DESARROLLO PRODUCTIVO ORGANICO Y APOYO COMERCIALIZACION DEL CAFE EN LA RESERVA NATURAL.CERRO CUMAICA-CERRO ALEGRE.BOACO.NICARAGUA,Cooperación al Desarrollo,Nicaragua,2008,"150.000,00"
ACSUR (ASOCIACION PARA LA COOPERACION CON EL SUR LAS SEGOVIAS),FORTALECIMIENTO INSTITUCIONAL Y FORMACIÓN DE PERSONAS ADULTAS PARA UNA GESTIÓN SOSTENIBLE DE LOS RECURSOS NATURALES Y DEL DESARROLLO HUMANO,Cooperación al Desarrollo,Bolivia,2008,"200.000,00"
ENTRE CULTURAS - FE Y ALEGRIA,MEJORA DE LAS CAPACIDADES Y ESTRATEGIAS DE 2.695 NIÑOS/AS Y JÓVENES DE LOS BARRIOS VULNERABLES DE MANIZALES PARA ENFRENTARSE A AMBIENTES...,Cooperación al Desarrollo,Colombia,2008,"300.000,00"
FUNDACION  DEL VALLE,"INFANCIA CON DERECHOS EN PUCA: ATENCIÓN INFANTIL INTEGRAL EN COMUNIDADES RURALES DE LOS MUNICIPIOS DE S. RAFAEL, LA UNIÓN Y LA IGUALA ...",Cooperación al Desarrollo,Honduras,2008,"290.000,00"
